Term	Notes	English	Vietnamese
card_animal_pen_description		Can hold 5 Animals	Có thể giữ 5 gia súc
card_animal_pen_name		Animal Pen	Chuồng gia súc
card_apple_description		Keeps doctors away	Giữ bác sĩ ở xa
card_apple_name		Apple	Táo
card_apple_tree_description		A tree.. with apples in it	Cũng là cây nhưng có Táo
card_apple_tree_name		Apple Tree	Cây Táo
card_apple_tree_status		Punching Apple Tree	Đang đấm cây Táo
card_bear_description		Soft yet dangerous	Mềm mại nhưng hung dữ
card_bear_name		Bear	Gấu
card_berry_description		A simple food found in Berry Bushes	Quả đuọc tìm thấy trong bụi dâu dại
card_berry_name		Berry	Quả dâu dại
card_berrybush_description		A bush with delicious berries in it	Một bụi quả dâu dại ngon
card_berrybush_name		Berry Bush	Bụi quả dâu dại
card_berrybush_status		Picking Berry Bush	Đang nhặt quả dâu dại
card_bone_description		Fact: a skeleton consists of many of these	Sự thật: Một bộ xương thường bao gồm những cái này
card_bone_name		Bone	Xương
card_brick_description		A strong building material	Vật liệu xây dựng chắc chắn
card_brick_name		Brick	Gạch
card_brickyard_description		Quickly turns Stone into Bricks	Biến Đá thành Gạch một cách nhanh chóng
card_brickyard_name		Brickyard	Sân đóng Gạch
card_campfire_description		Can be used to cook foods - it looks warm & cozy	Có thể dùng để nấu đồ ăn - mang lại cảm giác ấm cúng
card_campfire_name		Campfire	Lửa trại
card_carrot_description		The crunchiest vegetable	Rau củ giòn nhất
card_carrot_name		Carrot	Cà rốt
card_catacombs_description		Rumored to contain a mysterious object	Nghe đồn là có kỳ vật bên trong
card_catacombs_name		Catacombs	Hầm mộ
card_catacombs_status		Exploring Catacombs	Đang khám phá Hầm mộ
card_chicken_description		Alleged descendent of dinosaurs. I don't see it	Được cho là hậu duệ của khùng long. Tôi không nghĩ là vậy
card_chicken_name		Chicken	Gà
card_cooked_meat_description		It's cooked medium rare	Thịt này nấu hơi tái
card_cooked_meat_name		Cooked Meat	Thịt đã nấu
card_corpse_description		A dead human	Xác người
card_corpse_name		Corpse	Xác
card_cow_description		MOOOOOO!	ÙUUUUUM BÒOOOOO!
card_cow_name		Cow	Bò sữa
card_demon_description		The Final Boss	Boss cuối
card_demon_name		Demon	Ác quỷ
card_dog_description		Humanity's true best friend. Can do anything a Human can, just slower!	Bạn thân thực sự của loài người. Có thể làm mọi thứ mà Người có thể làm, chỉ là chậm hơn!
card_dog_name		Dog	Chó
card_egg_description		Can't be eaten raw: thanks salmonella	Không thể ăn sống: hay lắm khuẩn salmonella
card_egg_name		Egg	Trứng gà
card_explorer_description		Very fast at exploring Locations, but slightly slower at other tasks	Rất nhanh trong việc đi khám phá Địa danh, nhưng hơi chậm khi làm việc khác
card_explorer_name		Explorer	Nhà thám hiểm
card_farm_description		An advanced building for growing Food	Một nơi chuyên để trồng Thức ăn
card_farm_name		Farm	Nông trại
card_flint_description		Used to start fires	Dùng để đánh lửa
card_flint_name		Flint	Đá lửa
card_forest_description		A quaint place that also contains monsters	Rừng có quái vật
card_forest_name		Forest	Rừng
card_forest_status		Exploring Forest	Đang thám hiểm rừng
card_frittata_description		Delicious! Eat it with a fork	Rất là ngon! Hãy ăn nó với nĩa
card_frittata_name		Frittata	Frittata
card_fruit_salad_description		A classic ancient food	Một món ăn cổ điển
card_fruit_salad_name		Fruit Salad	Salad trái cây
card_garden_description		A simple building for growing Food	Một nơi để trồng Thức ăn
card_garden_name		Garden	Vườn
card_giant_rat_description		Big version of a small Rat	Phiên bản bự của chuột nhắt
card_giant_rat_name		Giant Rat	Chuột bự
card_goblet_description		A mysterious object	Kỳ vật
card_goblet_name		Golden Goblet	Chiếc cốc vàng
card_goblin_description		A monster with bad posture	Một con quái vật với tướng đứng xấu
card_goblin_name		Goblin	Goblin
card_gold_description		Humanity's best friend	Bạn thân nhất của loài người
card_gold_name		Coin	Đồng xu
card_graveyard_description		Very different from a normal yard	Rất là khác với 1 cái sân bình thường
card_graveyard_name		Graveyard	Nghĩa địa
card_graveyard_status		Exploring Graveyard	Đang thám hiểm nghĩa địa
card_house_description		A nice place to live	Một nơi tốt để ở
card_house_name		House	Nhà
card_iron_bar_description		A shiny, valuable material	Một vật liệu ánh kim và có giá trị
card_iron_bar_name		Iron Bar	Thanh sắt
card_iron_deposit_description		Contains Iron Ore	Có chứa quặng sắt
card_iron_deposit_name		Iron Deposit	Vỉa quặng sắt
card_iron_deposit_status		Punching Deposit	Đang đấm vỉa quặng
card_iron_ore_description		Can be turned into Iron Bars	Có thể biển thành thanh sắt
card_iron_ore_name		Iron Ore	Quặng sắt
card_key_description		I wonder what it's for..	Dùng để mở gì vậy ta?
card_key_name		Key	Chìa khoá
card_kid_description		A young'un. Needs a House to grow up in.	Một đứa bé con. Cần một căn nhà để lớn lên.
card_kid_name		Baby	Em bé
card_lumbercamp_description		An unlimited resource of Wood	Nơi cung cấp gỗ vô hạn định
card_lumbercamp_name		Lumber Camp	Trại gỗ
card_lumbercamp_status		Logging in Camp	Đang chặt gỗ
card_map_description		Use a Map to turn a Villager into an Explorer	Dùng bản đồ để đào tạo dân làng thành nhà thám hiểm
card_map_name		Map	Bản đồ
			
card_market_name		Market	Chợ
card_militia_description		Slower at working, better at fighting	Làm việc chậm nhưng đánh nhau giỏi
card_militia_name		Militia	Dân quân
card_milk_description		Fresh from the Cow	Được vắt thẳng từ bò
card_milk_name		Milk	Sữa bò
card_milkshake_description		It's Berry flavoured	Sữa này có vị quả dâu dại
card_milkshake_name		Milkshake	Sữa lắc
card_mountain_description		A hill with a pointy edge	Ngọn đồi với đỉnh nhọn
card_mountain_name		Mountain	Núi
card_mountain_status		Exploring Mountain	Đang thám hiểm núi
card_mushroom_description		An edible fungus	Nấm có thể ăn được
card_mushroom_name		Mushroom	Nấm
card_old_tome_description		A book with some Idea in it	Một cuốn sách với 1 vài ý tưởng trong đó
card_old_tome_name		Old Tome	Cổ thư
card_old_tome_status		Studying Old Tome	Đang đọc Cổ thư
card_old_village_description		A person is rumored to still live here..	Nghe đồn là vẫn có người sống ở đây...
card_old_village_name		Old Village	Làng cổ
card_old_village_status		Exploring Old Village	Đang thám hiểm làng cổ
card_omelette_description		Pépin would be proud	Pépin sẽ cảm thấy tự hào
card_omelette_name		Omelette	Trứng chiên
